gene	drug	approved	score	n_sources	interaction_type	directionality	direction	verdict	passes_evidence	survives
CFTR	PHENYLGLYCINE-01	False	1.080244683536382	1	activator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	GLPG2737	False	1.080244683536382	1	activator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	GLYH-101	False	1.080244683536382	1	blocker	INHIBITORY	inhibits	HARMFUL	False	False
CFTR	OLACAFTOR	False	1.080244683536382	1	positive modulator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	ABBV-3221	False	1.080244683536382	1	activator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	CBIQ	False	1.080244683536382	1	activator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	BAMOCAFTOR	False	1.080244683536382	1	positive modulator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	GATX1	False	1.080244683536382	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
CFTR	GLPG-1837	False	1.080244683536382	1			unknown	UNKNOWN	False	False
CFTR	ELEXACAFTOR	True	1.080244683536382	1	positive modulator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	GLPG1837	False	1.080244683536382	1	activator	ACTIVATING	activates	COMPENSATORY	False	False
